building,name,addr:housenumber,addr:street,height,geometry,city
commercial,The Shipyards,8,Lonsdale Avenue,,"POLYGON ((-123.079872 49.310443, -123.079714 49.310375, -123.080159 49.309934, -123.080317 49.310002, -123.079872 49.310443))","City of North Vancouver, British Columbia, Canada"
yes,,267,West Esplanade,,"POLYGON ((-123.085959 49.313251, -123.085497 49.312958, -123.085093 49.313246, -123.085254 49.313251, -123.08527 49.313328, -123.085161 49.313325, -123.085671 49.313554, -123.085959 49.313251))","City of North Vancouver, British Columbia, Canada"
yes,,133,Chesterfield Avenue,,"POLYGON ((-123.08497 49.311758, -123.08462 49.312111, -123.083578 49.311651, -123.083992 49.311238, -123.084247 49.311352, -123.083907 49.311696, -123.08394 49.311718, -123.083979 49.311686, -123.084023 49.311704, -123.084034 49.311693, -123.084373 49.31184, -123.084369 49.311854, -123.084414 49.311879, -123.0844 49.311909, -123.084433 49.31191, -123.084755 49.311575, -123.084938 49.311656, -123.084937 49.31169, -123.08497 49.311758))","City of North Vancouver, British Columbia, Canada"
office,,161,West Esplanade,,"POLYGON ((-123.082875 49.311887, -123.082561 49.312194, -123.081971 49.311944, -123.082064 49.311856, -123.082719 49.311827, -123.082875 49.311887))","City of North Vancouver, British Columbia, Canada"
office,,30,Gostick Place,,"POLYGON ((-123.092675 49.315298, -123.09269 49.314937, -123.092195 49.314928, -123.092195 49.314945, -123.092038 49.314942, -123.092032 49.315081, -123.09187 49.315078, -123.09186 49.315327, -123.092397 49.315336, -123.092399 49.315293, -123.092675 49.315298))","City of North Vancouver, British Columbia, Canada"
yes,,40,Gostick Place,,"POLYGON ((-123.092584 49.31548, -123.092305 49.315478, -123.092305 49.31549, -123.091856 49.31551, -123.091834 49.316108, -123.092545 49.316104, -123.09255 49.315862, -123.092574 49.315863, -123.092584 49.31548))","City of North Vancouver, British Columbia, Canada"
yes,,35,Gostick Place,,"POLYGON ((-123.093787 49.315648, -123.093795 49.315342, -123.093038 49.315334, -123.09303 49.315639, -123.093787 49.315648))","City of North Vancouver, British Columbia, Canada"
yes,,788,Harbourside Drive,,"POLYGON ((-123.093898 49.314802, -123.093894 49.315279, -123.094313 49.31528, -123.094318 49.314804, -123.093898 49.314802))","City of North Vancouver, British Columbia, Canada"
yes,,980,West 1st Street,,"POLYGON ((-123.10117 49.319114, -123.101181 49.318667, -123.101587 49.318668, -123.101572 49.319104, -123.101781 49.319101, -123.101776 49.319144, -123.101862 49.319145, -123.101864 49.319119, -123.102006 49.319121, -123.102008 49.318845, -123.101989 49.318843, -123.101992 49.318709, -123.102016 49.318708, -123.102021 49.318503, -123.102006 49.318502, -123.102006 49.318479, -123.101986 49.318456, -123.101955 49.318442, -123.101916 49.318437, -123.101919 49.318429, -123.101703 49.318429, -123.101702 49.318442, -123.101491 49.318439, -123.101495 49.318426, -123.101287 49.318424, -123.101287 49.318439, -123.10107 49.318436, -123.101071 49.31842, -123.10086 49.318419, -123.100859 49.318426, -123.100824 49.31843, -123.10079 49.318441, -123.100766 49.318463, -123.10076 49.318488, -123.100751 49.318488, -123.100751 49.318597, -123.100745 49.318697, -123.100771 49.318698, -123.100767 49.318836, -123.100742 49.318836, -123.100739 49.318938, -123.100732 49.319097, -123.100734 49.319114, -123.10117 49.319114))","City of North Vancouver, British Columbia, Canada"
yes,,949,West 3rd Street,,"POLYGON ((-123.10056 49.319169, -123.10055 49.319513, -123.10055 49.319554, -123.10044 49.319553, -123.100442 49.319509, -123.099812 49.319507, -123.099807 49.319543, -123.099704 49.319542, -123.099704 49.319499, -123.099714 49.319159, -123.099188 49.319157, -123.099189 49.319364, -123.099205 49.319362, -123.099203 49.3195, -123.099183 49.319501, -123.099171 49.319774, -123.099186 49.319774, -123.099188 49.319788, -123.09919 49.319801, -123.0992 49.319815, -123.099226 49.319827, -123.099246 49.319834, -123.099273 49.319836, -123.099273 49.319845, -123.099492 49.319847, -123.099491 49.319835, -123.099698 49.319837, -123.0997 49.31985, -123.099906 49.319852, -123.09991 49.31984, -123.10033 49.319844, -123.10033 49.319856, -123.10054 49.319858, -123.100541 49.319847, -123.100756 49.31985, -123.100756 49.31986, -123.100959 49.319861, -123.10096 49.319853, -123.100987 49.319855, -123.101009 49.319845, -123.101033 49.319834, -123.101044 49.319822, -123.101053 49.319808, -123.101055 49.319793, -123.101074 49.319793, -123.101076 49.319522, -123.101054 49.31952, -123.101055 49.319379, -123.101076 49.319379, -123.101083 49.319177, -123.10056 49.319169))","City of North Vancouver, British Columbia, Canada"
